File name,Method,PSNR,SSIM,BPP
1.1.01.tiff,DCT,"[19.129128183778356, 21.51505671241287, 22.84908305066443, 23.78660170032164, 24.56866533234014, 25.243215742609983, 25.858798442273518, 26.396418366620615, 26.914692951257155, 27.387576678331428, 27.878654813254386, 28.45224181362754, 29.126410766581806, 29.972352307688602, 30.95050411573316, 32.32893131392967, 34.16933955586996, 37.06486174361088, 42.52974649799111]","[0.7645084712528832, 0.8648371044520641, 0.900824301123861, 0.9205857322287049, 0.9339551865118274, 0.9437187099048636, 0.9511944753313759, 0.9569210914853964, 0.9617890398338922, 0.9657011754100007, 0.9693692853948075, 0.9731161651914354, 0.9769740023142444, 0.980999197581435, 0.9847706825240883, 0.9888147123380479, 0.9926218628196716, 0.9961459864720433, 0.9988829515019273]","[0.729949951171875, 1.265411376953125, 1.62750244140625, 1.8961181640625, 2.1231689453125, 2.31494140625, 2.492706298828125, 2.64044189453125, 2.791412353515625, 2.924041748046875, 3.060516357421875, 3.22412109375, 3.41180419921875, 3.641082763671875, 3.902252197265625, 4.26068115234375, 4.71234130859375, 5.367279052734375, 6.361114501953125]"
1.1.01.tiff,Oliveira propose,"[18.475512775806425, 20.232871025159554, 21.37062907982161, 22.14469320752043, 22.650567027128634, 23.30527968811336, 24.255752959957896, 24.908377819099474, 25.456345508354417, 25.65922250860354, 26.003816378074518, 26.820801099449653, 27.793250017941272, 28.353600092587175, 29.27072126928533, 31.317793276858154, 32.87705277449783, 36.57470387641786, 42.399749756176746]","[0.7217900648778256, 0.8154428155172262, 0.8606253423400858, 0.8844736870471168, 0.8977871562016414, 0.9119791779141305, 0.9296871780550218, 0.939213077924912, 0.9464121980175331, 0.9488320844744704, 0.9525736284153953, 0.9605831401172469, 0.9683452544162094, 0.9721836273654204, 0.9774293221701349, 0.9856121501559224, 0.9898792582923525, 0.9956031339387029, 0.9988370116101787]","[0.71783447265625, 1.242919921875, 1.6353759765625, 1.928802490234375, 2.141387939453125, 2.40008544921875, 2.69097900390625, 2.885833740234375, 3.08758544921875, 3.16729736328125, 3.30731201171875, 3.60406494140625, 3.900848388671875, 4.093170166015625, 4.352447509765625, 4.90771484375, 5.296875, 6.11944580078125, 6.964569091796875]"
1.1.01.tiff,Brahimi propose,"[16.134639939877648, 18.460576832074416, 19.255308686499166, 20.801538462536726, 21.075346174569102, 21.808659179277008, 22.94097600152928, 23.42301242238134, 23.76742227594464, 24.021554208943158, 24.375382342229432, 25.277168290228424, 25.964006982523145, 26.98348773899031, 27.534790257956768, 29.25282505861585, 31.868966850623334, 34.23470676936892, 40.16950752194512]","[0.5063030837158963, 0.7247351201463598, 0.7753542906504837, 0.8414188889858613, 0.8517082889383616, 0.8750369691161878, 0.9033075710286009, 0.9136626824383859, 0.9205194709355344, 0.9251451670774797, 0.9308358797556737, 0.9436929811967668, 0.9518653333899127, 0.9618403929900463, 0.9663247302181386, 0.9771220835007749, 0.9871867945765264, 0.9924995290513368, 0.9980643109361058]","[0.313018798828125, 0.843780517578125, 1.093902587890625, 1.6590576171875, 1.752471923828125, 2.0228271484375, 2.482879638671875, 2.7025146484375, 2.81231689453125, 2.90130615234375, 3.053253173828125, 3.368621826171875, 3.684326171875, 3.996734619140625, 4.184661865234375, 4.748931884765625, 5.384735107421875, 5.9755859375, 6.89483642578125]"
1.1.02.tiff,DCT,"[21.86137097875863, 24.284499128210065, 25.664743483380246, 26.586134998194137, 27.301929330157314, 27.862434384791868, 28.350512290128783, 28.746032124907124, 29.141340579900508, 29.489236599930024, 29.85183916779732, 30.277407564761546, 30.783962223467654, 31.424277010573714, 32.18121394818583, 33.280283121974385, 34.791631392873036, 37.265078559384776, 42.49861137528739]","[0.7093227541874684, 0.8268309839016507, 0.8707783395961388, 0.8947940562802087, 0.9101473345501729, 0.9207742757014944, 0.9288304620725492, 0.9347589945701675, 0.9401654840293836, 0.944626202071389, 0.9488795464169626, 0.9534552911228789, 0.9582507267220992, 0.9636542052693409, 0.9690996866715075, 0.9756857959627689, 0.9825475427835971, 0.9898329839831299, 0.9967616375019094]","[0.478057861328125, 0.859832763671875, 1.156646728515625, 1.39312744140625, 1.58984375, 1.755218505859375, 1.905303955078125, 2.02825927734375, 2.156280517578125, 2.269500732421875, 2.383026123046875, 2.5213623046875, 2.684783935546875, 2.8935546875, 3.13287353515625, 3.484649658203125, 3.95648193359375, 4.6888427734375, 5.922210693359375]"
1.1.02.tiff,Oliveira propose,"[21.208527549470446, 23.072917133330883, 24.11682572242431, 24.895494909094, 25.373074916398846, 26.12065850804038, 26.765104661924823, 27.23791353835036, 27.68311037989581, 27.78602324790073, 28.119804918269633, 28.769459945658, 29.68213524709972, 30.239539700940405, 30.906974933328698, 32.23141582401648, 33.67210082971973, 36.93289396700702, 42.41423114484565]","[0.6754035853453818, 0.7855287640262023, 0.8286405505873535, 0.8546814453402586, 0.8699343911678721, 0.8894237441590723, 0.9022253439643023, 0.9103202389791605, 0.9188058119731949, 0.9207159665408736, 0.9262221951238744, 0.93598854954131, 0.9474963172952882, 0.953319739185576, 0.9593231249020953, 0.9689746790361645, 0.9775738175194548, 0.9888050768275387, 0.9966797961985202]","[0.458831787109375, 0.8568115234375, 1.14324951171875, 1.41180419921875, 1.588409423828125, 1.83172607421875, 2.009307861328125, 2.149627685546875, 2.324798583984375, 2.394287109375, 2.538116455078125, 2.77984619140625, 3.03399658203125, 3.229034423828125, 3.44781494140625, 3.9010009765625, 4.36749267578125, 5.274688720703125, 6.402099609375]"
1.1.02.tiff,Brahimi propose,"[18.8012456115366, 21.080804428650982, 21.981568696260414, 23.511321606965016, 23.705896776551775, 24.428981519688723, 25.59314344964649, 26.064118191587966, 26.23356498005352, 26.385384731211712, 26.78909762675886, 27.476427770503626, 28.269822044985666, 28.987003683770638, 29.440606360579416, 30.949790171766395, 32.6700133258857, 34.93647984334022, 40.24637434087224]","[0.4653448182486365, 0.657111452334401, 0.7152663724177589, 0.7965721744105319, 0.8050665406268589, 0.8326637396035294, 0.8695474859351889, 0.8829016468308576, 0.8871583969875612, 0.8906522907434669, 0.9003260629834846, 0.9136424960712826, 0.9278753975602195, 0.9380336842037927, 0.9435145357602863, 0.9590476169615865, 0.9715734496765788, 0.9828261867148489, 0.9945994416672166]","[0.230224609375, 0.499359130859375, 0.6895751953125, 1.058807373046875, 1.109375, 1.31488037109375, 1.712371826171875, 1.9085693359375, 1.96441650390625, 2.0142822265625, 2.158721923828125, 2.410491943359375, 2.75213623046875, 3.00341796875, 3.155487060546875, 3.702667236328125, 4.270263671875, 5.01171875, 6.2086181640625]"
1.1.03.tiff,DCT,"[20.830574432236002, 23.28381758686753, 24.621636297872005, 25.505105749609328, 26.20596181177778, 26.781512181860336, 27.303854957877405, 27.74982453522409, 28.181190798436884, 28.57076357648682, 28.979625890258205, 29.453931040288207, 30.020474697098617, 30.717668403602495, 31.53967670340892, 32.73684579048345, 34.40363815623358, 37.113579040705915, 42.53988819663011]","[0.6705999144405631, 0.8104671081897811, 0.8580969840176961, 0.8840170025597436, 0.9014717299376603, 0.9141206978995996, 0.9237928703979011, 0.9313081505570787, 0.9377893589913563, 0.94319192454014, 0.948284407207402, 0.9536301738588367, 0.9592291078666754, 0.9651716918630968, 0.9710686233841432, 0.9779332915678414, 0.9848398791659162, 0.9917323967919238, 0.9975803896822821]","[0.49993896484375, 0.9412841796875, 1.24090576171875, 1.470550537109375, 1.664886474609375, 1.82647705078125, 1.978240966796875, 2.1043701171875, 2.23223876953125, 2.3458251953125, 2.460662841796875, 2.601715087890625, 2.76593017578125, 2.972564697265625, 3.20794677734375, 3.551361083984375, 4.0257568359375, 4.75201416015625, 5.9595947265625]"
1.1.03.tiff,Oliveira propose,"[20.3691574307281, 22.214553008572658, 23.163958890112756, 23.847174676774966, 24.274617712601625, 24.784821972604128, 25.397377967112863, 25.91484918631555, 26.40100879823711, 26.568465005939494, 26.833183081621282, 27.520620608870715, 28.319807870323924, 28.824516857227415, 29.713046400492743, 31.49048237657702, 32.96570100806499, 36.606709879946884, 42.401381025070826]","[0.6288229416680486, 0.7562274405064979, 0.8053523071262022, 0.833830629497484, 0.8504544323669346, 0.8668525808947553, 0.8852220995906396, 0.8981039391956621, 0.9090301614843337, 0.9126210380819131, 0.9174522517377257, 0.9294329788608882, 0.9409100653141939, 0.9471574619164829, 0.9567900042229756, 0.9707490969419442, 0.9789065236264505, 0.9906579147746059, 0.9974908693479287]","[0.4732666015625, 0.9063720703125, 1.1959228515625, 1.459197998046875, 1.634674072265625, 1.844207763671875, 2.0489501953125, 2.2178955078125, 2.418853759765625, 2.497589111328125, 2.6497802734375, 2.938690185546875, 3.214141845703125, 3.426300048828125, 3.7103271484375, 4.302764892578125, 4.77972412109375, 5.72332763671875, 6.738494873046875]"
1.1.03.tiff,Brahimi propose,"[18.094660879335855, 20.08363467265268, 20.75574572597109, 22.218049993423765, 22.413961627178935, 23.026204775489354, 23.96918415680733, 24.40484101153205, 24.66028659118413, 24.869937885411947, 25.193968244305715, 25.961140464375347, 26.583890147692202, 27.407381411501458, 27.930233466683283, 29.556041102105127, 31.940323187548273, 34.26591054545428, 40.16291015001313]","[0.32615203848393826, 0.6039938832289565, 0.6625687666371437, 0.7573524890828631, 0.7689933157945212, 0.7998088605501014, 0.8371407286023855, 0.8532607434949679, 0.8621402274869806, 0.8691728941784752, 0.8788963514963481, 0.8987012257860301, 0.9117017247453255, 0.926989088827644, 0.9349162622668041, 0.9545443613978202, 0.9733348056989547, 0.9841268770075826, 0.9958235300058849]","[0.18658447265625, 0.510711669921875, 0.725799560546875, 1.1492919921875, 1.20770263671875, 1.4443359375, 1.834747314453125, 2.0355224609375, 2.118438720703125, 2.19622802734375, 2.35809326171875, 2.6551513671875, 3.0030517578125, 3.3011474609375, 3.496612548828125, 4.135162353515625, 4.8399658203125, 5.574371337890625, 6.682342529296875]"
1.1.05.tiff,DCT,"[23.302750125035384, 25.172400546806365, 26.223583724741054, 26.91373434115562, 27.445924212769917, 27.87101332560838, 28.235497769676833, 28.53178558886535, 28.830889078032396, 29.09886057778298, 29.382942370242272, 29.738749656528537, 30.1774438255408, 30.750997825406582, 31.442281940621903, 32.489794942977575, 34.020900163599414, 36.74532567095389, 42.40006239992208]","[0.533007849666918, 0.6929374301068132, 0.7574952876206801, 0.7937912315467008, 0.8186019784898335, 0.8354869713549956, 0.8494336406777546, 0.8599135385159397, 0.870067391108044, 0.8784502719495484, 0.887078442902479, 0.8968980671617002, 0.9074936226337851, 0.9193972013720585, 0.9315504325581914, 0.9463696787987043, 0.9623568527888081, 0.9797510842945324, 0.9943938715897113]","[0.27337646484375, 0.5679931640625, 0.831787109375, 1.0538330078125, 1.259521484375, 1.4285888671875, 1.588043212890625, 1.716400146484375, 1.8548583984375, 1.980377197265625, 2.1104736328125, 2.2679443359375, 2.45855712890625, 2.695281982421875, 2.972869873046875, 3.394805908203125, 3.965972900390625, 4.841522216796875, 6.169158935546875]"
